Area|Estimate!!Total:!!Asia:!!South Central Asia:!!Iran|Estimate!!Total:!!Asia:!!Eastern Asia:!!Korea|Estimate!!Total:
04854|0|0|24
04855|0|0|0
04856|0|0|88
04858|0|0|16
04859|0|0|42
04860|0|0|33
04861|0|0|204
04862|0|0|81
04863|0|0|70
04864|0|0|121
04901|0|30|862
04910|0|0|14
04911|0|0|30
04912|0|0|7
04915|0|0|326
04917|0|0|27
04918|0|0|0
04920|0|0|26
04921|0|0|39
04922|0|0|9
04923|0|0|22
04924|0|0|59
04925|0|0|0
04926|0|0|0
04927|0|0|45
04928|0|0|20
04929|0|0|22
04930|0|0|255
04932|0|0|24
04936|0|0|7
04937|0|0|48
04938|0|3|238
04939|0|0|27
04940|0|0|0
04941|0|0|39
04942|0|0|20
04943|0|0|15
04944|0|0|0
04945|0|0|67
04947|0|3|36
04949|0|0|3
04950|0|0|27
04951|0|0|5
04952|0|1|15
04953|0|0|70
04955|0|0|26
04956|0|0|2
04957|0|0|77
04958|0|0|13
04961|0|0|84
04963|0|0|170
04964|0|0|0
04965|0|0|5
04966|0|0|11
04967|0|0|100
04969|0|0|11
04970|0|0|11
04971|0|0|23
04973|0|0|5
04974|0|0|0
04975|0|0|0
04976|0|0|128
04978|0|0|12
04979|0|0|30
04981|0|0|64
04982|0|0|0
04983|0|2|92
04984|0|0|4
04985|0|0|0
04986|0|0|8
04987|0|0|18
04988|0|2|105
04989|0|0|86
04992|0|0|0
05001|0|0|644
05009|0|0|0
05030|0|0|0
05031|0|0|0
05032|0|0|50
05033|0|0|40
05034|0|0|26
05035|0|0|4
05036|0|0|7
05037|6|0|45
05038|0|0|6
05039|0|0|11
05040|0|0|0
05041|0|0|0
05042|0|7|18
05043|0|0|71
05045|0|14|59
05046|0|0|24
05048|0|12|124
05050|0|0|0
05051|0|0|39
05052|0|0|0
05053|0|0|15
05055|0|0|130
05056|0|0|17
05058|0|0|39
05059|0|0|0
05060|0|0|68
05061|0|0|59
05062|10|0|19
05065|0|0|46
05067|0|0|27
05068|0|0|80
05069|0|0|2
05070|0|0|8
05071|0|0|10
05072|0|0|3
05073|0|0|0
05075|0|0|15
05076|0|0|7
05077|0|0|25
05079|0|0|12
05081|0|0|24
05083|0|0|0
05084|0|0|0
05086|0|0|4
05088|0|0|0
05089|0|0|52
05091|0|0|162
05101|0|37|124
05141|0|0|0
05142|0|0|9
05143|0|0|165
05146|0|0|29
05148|0|0|34
05149|0|0|88
05150|0|0|0
05151|0|0|27
05152|0|0|26
05153|0|0|2
05154|0|0|11
05155|0|0|16
05156|0|0|246
05158|0|0|14
05161|0|0|70
05201|0|0|362
05250|0|0|100
05251|0|0|87
05252|0|0|7
05253|0|0|21
05254|0|0|77
05255|0|0|115
05257|0|0|179
05260|0|0|0
05261|0|0|0
05262|0|0|0
05301|0|17|479
05340|0|0|45
05341|0|0|18
05342|0|0|10
05343|0|0|20
05344|0|0|49
05345|0|0|35
05346|0|2|131
05350|0|0|20
05351|0|0|0
05352|0|5|27
05353|0|0|37
05354|0|0|138
05355|0|0|57
05356|0|0|50
05358|0|0|4
05359|0|0|12
05360|0|0|7
05361|0|0|19
05362|0|0|0
05363|0|10|114
05401|7|66|2948
05403|0|53|2404
05404|0|9|1163
05405|0|0|58
05408|0|0|1058
05439|0|0|56
05440|0|3|100
05441|0|0|10
05442|0|0|6
05443|15|0|133
05444|0|0|40
05445|0|11|313
05446|23|2|1307
05447|0|0|0
05448|0|0|21
05450|0|4|138
05452|0|31|2158
05454|0|32|34
05455|0|0|81
05456|0|0|12
05457|0|0|80
05458|0|2|41
05459|0|0|47
05461|0|0|192
05462|0|0|24
05463|0|0|6
05464|2|0|79
05465|0|0|75
05468|0|0|317
05471|0|1|21
05472|7|0|116
05473|0|0|64
05474|0|0|62
05476|0|0|92
05477|0|8|127
05478|0|59|483
05481|0|0|0
05482|65|0|632
05483|0|0|19
05485|0|0|0
05486|0|0|35
05487|0|0|57
05488|14|0|233
